"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"mii-kds-gesamt","mii-kds-gesamt","","","",0,*,"","","","null {[]} {[]}
","MII KDS – Gesamtmodell","Zentrales Logical Model, das alle Module des MII Kerndatensatzes als typisierte Slots zusammenführt. Inhalte stammen per Typ-Referenz aus den Modul-Logical-Models.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"mii-kds-gesamt.person","mii-kds-gesamt.person","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/LogicalModel/Person {[]} {[]}
","Person","Modul Person","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.person",0,*,"",""
"mii-kds-gesamt.fall","mii-kds-gesamt.fall","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/core/modul-fall/StructureDefinition/LogicalModel/Fall {[]} {[]}
","Fall","Modul Fall","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.fall",0,*,"",""
"mii-kds-gesamt.diagnose","mii-kds-gesamt.diagnose","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/LogicalModel/Diagnose {[]} {[]}
","Diagnose","Modul Diagnose","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.diagnose",0,*,"",""
"mii-kds-gesamt.prozedur","mii-kds-gesamt.prozedur","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/core/modul-prozedur/StructureDefinition/LogicalModel/Prozedur {[]} {[]}
","Prozedur","Modul Prozedur","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.prozedur",0,*,"",""
"mii-kds-gesamt.labor","mii-kds-gesamt.labor","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/core/modul-labor/StructureDefinition/LogicalModel/Laborbefund {[]} {[]}
","Labor","Modul Laborbefund","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.labor",0,*,"",""
"mii-kds-gesamt.medikation","mii-kds-gesamt.medikation","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/core/modul-medikation/StructureDefinition/LogicalModel/BasismodulMedikation {[]} {[]}
","Medikation","Modul Medikation","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.medikation",0,*,"",""
"mii-kds-gesamt.biobank","mii-kds-gesamt.biobank","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/ext/modul-biobank/StructureDefinition/LogicalModel/Biobank {[]} {[]}
","Biobank","Modul Biobank","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.biobank",0,*,"",""
"mii-kds-gesamt.icu","mii-kds-gesamt.icu","","","",0,*,"","","","Base {[]} {[]}
","Intensivmedizin","Modul ICU (Typ-Referenz deaktiviert — Modul hat dangling parent URL)","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.icu",0,*,"",""
"mii-kds-gesamt.mikrobio","mii-kds-gesamt.mikrobio","","","",0,*,"","","","Base {[]} {[]}
","Mikrobiologie","Modul Mikrobiologie (Typ-Referenz deaktiviert — Modul hat dangling parent URL)","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.mikrobio",0,*,"",""
"mii-kds-gesamt.molgen","mii-kds-gesamt.molgen","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/ext/modul-molgen/StructureDefinition/LogicalModelMolGen {[]} {[]}
","Molekulargenetik","Modul Molgen","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.molgen",0,*,"",""
"mii-kds-gesamt.patho","mii-kds-gesamt.patho","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/ext/modul-patho/StructureDefinition/mii-lm-patho-logical-model {[]} {[]}
","Pathologie","Modul Pathologie","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.patho",0,*,"",""
"mii-kds-gesamt.studie","mii-kds-gesamt.studie","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/modul-studie/StructureDefinition/mii-lm-studie-logicalmodel {[]} {[]}
","Studie","Modul Studie","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.studie",0,*,"",""
"mii-kds-gesamt.bildgebung","mii-kds-gesamt.bildgebung","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/ext/modul-bildgebung/StructureDefinition/LogicalModel/Bildgebung {[]} {[]}
","Bildgebung","Modul Bildgebung","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.bildgebung",0,*,"",""
"mii-kds-gesamt.onkologie","mii-kds-gesamt.onkologie","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-lm-onko {[]} {[]}
","Onkologie","Modul Onkologie","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.onkologie",0,*,"",""
"mii-kds-gesamt.mtb","mii-kds-gesamt.mtb","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-lm-mtb {[]} {[]}
","MTB","Modul Molekulares Tumorboard","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.mtb",0,*,"",""
"mii-kds-gesamt.seltene","mii-kds-gesamt.seltene","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/LogicalModel/Seltene {[]} {[]}
","Seltene Erkrankungen","Modul Seltene Erkrankungen","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.seltene",0,*,"",""
"mii-kds-gesamt.pro","mii-kds-gesamt.pro","","","",0,*,"","","","https://www.medizininformatik-initiative.de/fhir/ext/modul-pro/StructureDefinition/mii-lm-pro {[]} {[]}
","PROs","Modul Patient-Reported Outcomes","","","","","","","","","",,,,,"",,,,"mii-kds-gesamt.pro",0,*,"",""
